Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
pcm,ga,0.2058,22,39,0.0369747899159663,1020,948,1.0759493670886076,0.3499300699300699,0.0925206033276318,7.740555288745085,0.0,0.656,0.5838,0.3277,0.4878,0.1027
pcm,hu,0.26,15,46,0.0218487394957983,1800,948,1.8987341772151896,0.4546198320061089,0.0925206033276318,15.317161347101475,0.9744,0.5498,0.5354,0.2677,0.4345,0.0778
pcm,te,0.3165,5,56,0.0016806722689075,1328,948,1.40084388185654,0.3446196660482374,0.0925206033276318,7.424471589904348,0.9724,0.6281,0.6243,0.5,0.5734,0.0632
pcm,af,0.2441,18,43,0.0512605042016806,1934,948,2.040084388185654,0.203484865408243,0.0925206033276318,1.438432034884854,0.9744,0.645,0.6501,0.409,0.6202,0.0911
pcm,vi,0.1949,26,35,0.0184873949579831,3000,948,3.1645569620253164,0.1568043561492321,0.0925206033276318,0.4827536129371315,0.9766,0.5742,0.5667,0.3729,0.5285,0.0724
pcm,ug,0.3206,4,57,0.0016806722689075,3456,948,3.645569620253165,0.4374610522567435,0.0925206033276318,13.899889130465008,0.9724,0.6107,0.5659,0.2468,0.4935,0.2068
pcm,el,0.0351,54,7,0.0042016806722689,2521,948,2.659282700421941,0.2837253360022877,0.0925206033276318,4.2709094426985175,0.9744,0.6438,0.6028,0.3881,0.5473,0.1633
pcm,sme,0.3371,2,59,0.0184873949579831,3122,948,3.2932489451476794,0.4513223794042703,0.0925206033276318,15.039460451633715,0.9896,0.5763,0.5715,0.3729,0.5484,0.0693
pcm,gl,0.2016,23,38,0.0579831932773109,3993,948,4.212025316455696,0.2302721876615389,0.0925206033276318,2.216747834021532,0.9766,0.5883,0.5748,0.2677,0.5136,0.0539
pcm,sr,0.2376,19,42,0.0394957983193277,3891,948,4.104430379746836,0.3111760696308725,0.0925206033276318,5.585264770309875,0.9705,0.6221,0.565,0.2617,0.4935,0.0832
pcm,got,0.1229,38,23,0.0226890756302521,5401,948,5.697257383966245,0.1811019353439708,0.0925206033276318,0.9166583542295182,0.9791,0.6085,0.5892,0.2677,0.5256,0.2092
pcm,tr,0.1921,28,33,0.0285714285714285,5635,948,5.944092827004219,0.5061541783632045,0.0925206033276318,19.987324109923197,0.9724,0.5525,0.5318,0.3277,0.5127,0.0763
pcm,zh,0.0035,60,1,0.0092436974789915,4997,948,5.271097046413503,0.9869043288468534,0.0925206033276318,93.44818352081212,0.967,0.6312,0.5921,0.4601,0.527,0.3163
pcm,ur,0.1201,40,21,0.0067226890756302,5130,948,5.411392405063292,0.1056406117958751,0.0925206033276318,0.0201090390934346,0.9744,0.7674,0.7223,0.6545,0.601,0.211
pcm,cu,0.0914,48,13,0.0008403361344537,6337,948,6.684599156118144,0.1959524016329366,0.0925206033276318,1.24977329025679,0.9744,0.6107,0.5893,0.3862,0.553,0.293
