Target lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
kore1280,stan1288,1.0,0.6751,0.621,0.5609,0.5505,0.3622
kore1280,esto1258,0.9896,0.6237,0.557,0.5609,0.4528,0.2754
kore1280,poli1260,1.0,0.5835,0.5871,0.5096,0.5633,0.3018
kore1280,dutc1256,1.0,0.6318,0.592,0.432,0.5145,0.3235
kore1280,port1283,1.0,0.6111,0.5982,0.5335,0.5185,0.3625
kore1280,lati1261,1.0,0.5876,0.5619,0.427,0.507,0.3358
kore1280,stan1290,1.0,0.7023,0.617,0.5253,0.4804,0.3381
kore1280,stan1295,1.0,0.5935,0.5755,0.554,0.5227,0.3199
kore1280,hind1269,1.0,0.5528,0.5681,0.5879,0.558,0.1976
kore1280,stan1289,1.0,0.612,0.5941,0.5096,0.5198,0.3515
kore1280,ital1282,1.0,0.6137,0.6189,0.5609,0.5861,0.3328
kore1280,stan1293,1.0,0.7054,0.6561,0.5335,0.4866,0.3292
kore1280,finn1318,1.0,0.6196,0.5291,0.5096,0.3638,0.2641
kore1280,bulg1262,1.0,0.6271,0.6135,0.6123,0.5671,0.3077
kore1280,slov1268,1.0,0.6184,0.6128,0.6123,0.55,0.3214
kore1280,slov1269,1.0,0.7323,0.7119,0.5859,0.6792,0.3089
kore1280,roma1327,1.0,0.6325,0.6055,0.5829,0.5696,0.3029
kore1280,croa1245,1.0,0.6685,0.6271,0.5879,0.5505,0.3201
kore1280,stan1318,1.0,0.7303,0.6423,0.5348,0.4901,0.2926
kore1280,latv1249,1.0,0.6631,0.6081,0.6327,0.55,0.2813
kore1280,hebr1245,1.0,0.6567,0.639,0.5609,0.5886,0.3097
kore1280,ukra1253,1.0,0.6055,0.5914,0.5609,0.5861,0.2988
kore1280,indo1316,1.0,0.6727,0.617,0.5096,0.4569,0.2106
kore1280,dani1285,1.0,0.6126,0.5939,0.5829,0.5052,0.3098
kore1280,swed1254,1.0,0.645,0.5984,0.4576,0.5026,0.2862
kore1280,mand1415,1.0,0.5008,0.5578,0.4835,0.5505,0.0436
esto1258,czec1258,0.9744,0.5482,0.5038,0.195,0.4714,0.0506
esto1258,russ1263,0.9791,0.4434,0.4723,0.195,0.5079,0.1182
esto1258,norw1258,0.9766,0.4307,0.4634,0.3695,0.5153,0.0342
esto1258,stan1288,0.9638,0.5263,0.4968,0.39,0.4617,0.1129
esto1258,kore1280,0.9896,0.6237,0.557,0.5609,0.4528,0.2754
esto1258,poli1260,0.9766,0.5291,0.5081,0.1864,0.453,0.0382
esto1258,dutc1256,0.9687,0.5298,0.5127,0.3455,0.5145,0.0608
esto1258,port1283,0.9654,0.4917,0.4902,0.2566,0.4244,0.1126
esto1258,lati1261,0.9766,0.5563,0.5002,0.3277,0.4028,0.0869
esto1258,stan1290,0.9638,0.5549,0.5312,0.3776,0.4985,0.0798
esto1258,stan1295,0.9744,0.4896,0.4837,0.3064,0.5026,0.0591
esto1258,hind1269,0.9724,0.5053,0.5195,0.3776,0.5365,0.218
esto1258,stan1289,0.967,0.5299,0.4968,0.1864,0.3964,0.0996
esto1258,ital1282,0.9687,0.5434,0.5327,0.2736,0.4805,0.0819
esto1258,stan1293,0.9687,0.5848,0.5593,0.2566,0.4823,0.0711
esto1258,finn1318,0.9819,0.3993,0.3648,0.1864,0.3861,0.0245
esto1258,bulg1262,0.9744,0.4734,0.4734,0.195,0.5098,0.0733
esto1258,slov1268,0.9766,0.4981,0.4858,0.195,0.434,0.066
esto1258,slov1269,0.9766,0.7644,0.7402,0.5859,0.7127,0.0523
esto1258,roma1327,0.9705,0.5125,0.4787,0.3277,0.4618,0.0596
esto1258,croa1245,0.9724,0.5424,0.4898,0.2804,0.3673,0.0686
esto1258,stan1318,0.9744,0.6216,0.5505,0.3433,0.4149,0.1526
esto1258,latv1249,0.9819,0.4988,0.4411,0.2736,0.3212,0.012
esto1258,hebr1245,0.9724,0.5335,0.5424,0.39,0.5077,0.1313
esto1258,ukra1253,0.9766,0.4236,0.442,0.2736,0.4805,0.0515
esto1258,indo1316,0.9705,0.5723,0.5095,0.3277,0.2992,0.3764
esto1258,dani1285,0.9744,0.5029,0.4652,0.1864,0.3374,0.0434
esto1258,swed1254,0.9744,0.4939,0.5069,0.2566,0.5026,0.0172
esto1258,mand1415,0.9791,0.5621,0.5833,0.4835,0.5351,0.2471
poli1260,czec1258,0.4788,0.4737,0.4743,0.2677,0.4653,0.0137
poli1260,russ1263,0.5319,0.4765,0.4773,0.2677,0.4949,0.1425
poli1260,norw1258,0.8718,0.5276,0.584,0.409,0.6385,0.0434
poli1260,stan1288,0.9176,0.5426,0.5245,0.3277,0.4801,0.0807
poli1260,kore1280,1.0,0.5835,0.5871,0.5096,0.5633,0.3018
poli1260,esto1258,0.9766,0.5291,0.5081,0.1864,0.453,0.0382
poli1260,dutc1256,0.9047,0.5174,0.5236,0.2952,0.5368,0.0385
poli1260,port1283,0.9139,0.4466,0.4653,0.1789,0.4584,0.0832
poli1260,lati1261,0.8718,0.4096,0.441,0.2617,0.453,0.0493
poli1260,stan1290,0.9176,0.5398,0.5471,0.3333,0.5239,0.0519
poli1260,stan1295,0.8831,0.5485,0.5695,0.3548,0.5805,0.0232
poli1260,hind1269,0.8919,0.4973,0.5384,0.3333,0.5925,0.2239
poli1260,stan1289,0.9097,0.4635,0.459,0.0,0.4568,0.0655
poli1260,ital1282,0.9047,0.451,0.4762,0.1864,0.498,0.0443
poli1260,stan1293,0.9047,0.6135,0.5923,0.1789,0.5472,0.0549
poli1260,finn1318,1.0,0.5162,0.5202,0.2617,0.5146,0.0612
poli1260,bulg1262,0.631,0.4999,0.5125,0.2677,0.5078,0.0436
poli1260,slov1268,0.5903,0.4192,0.4751,0.2677,0.5281,0.0281
poli1260,slov1269,0.4097,0.7028,0.6759,0.5641,0.6655,0.0151
poli1260,roma1327,0.8989,0.5015,0.5073,0.2617,0.4856,0.0301
poli1260,croa1245,0.6614,0.5847,0.5666,0.3333,0.4554,0.031
poli1260,stan1318,1.0,0.5765,0.546,0.2677,0.4588,0.1368
poli1260,latv1249,0.6545,0.534,0.5074,0.3277,0.4492,0.0275
poli1260,hebr1245,1.0,0.5335,0.5689,0.427,0.6276,0.1085
poli1260,ukra1253,0.5903,0.4494,0.4603,0.1864,0.4504,0.0239
poli1260,indo1316,1.0,0.5617,0.5359,0.2617,0.3821,0.3846
poli1260,dani1285,0.8831,0.5,0.4933,0.2617,0.4094,0.0289
poli1260,swed1254,0.8831,0.5349,0.5494,0.3141,0.5444,0.0366
poli1260,mand1415,1.0,0.5573,0.5915,0.439,0.552,0.2726
dutc1256,czec1258,0.9131,0.4804,0.4748,0.3918,0.4427,0.0308
dutc1256,russ1263,0.8934,0.5133,0.509,0.3918,0.5297,0.1739
dutc1256,norw1258,0.7048,0.4526,0.4845,0.3418,0.5605,0.0389
dutc1256,stan1288,0.9386,0.5076,0.5231,0.432,0.557,0.0563
dutc1256,kore1280,1.0,0.6318,0.592,0.432,0.5145,0.3235
dutc1256,esto1258,0.9687,0.5298,0.5127,0.3455,0.5145,0.0608
dutc1256,poli1260,0.9047,0.5174,0.5236,0.2952,0.5368,0.0385
dutc1256,port1283,0.9359,0.4439,0.4566,0.3418,0.3863,0.0538
dutc1256,lati1261,0.9047,0.5406,0.5214,0.2952,0.5145,0.0517
dutc1256,stan1290,0.9386,0.4801,0.4363,0.2817,0.3411,0.0203
dutc1256,stan1295,0.5236,0.3979,0.3678,0.2914,0.3086,0.0268
dutc1256,hind1269,0.9196,0.5825,0.5472,0.3661,0.4861,0.257
dutc1256,stan1289,0.9328,0.472,0.4671,0.2952,0.4234,0.0466
dutc1256,ital1282,0.9291,0.4483,0.4691,0.3455,0.4305,0.0473
dutc1256,stan1293,0.7068,0.535,0.5292,0.3418,0.4861,0.0174
dutc1256,finn1318,1.0,0.562,0.5064,0.2952,0.4561,0.0754
dutc1256,bulg1262,0.9131,0.5224,0.5103,0.3918,0.5097,0.0727
dutc1256,slov1268,0.9047,0.5021,0.5025,0.3918,0.4622,0.0394
dutc1256,slov1269,0.9047,0.7269,0.6931,0.5,0.6137,0.0433
dutc1256,roma1327,0.9248,0.5443,0.4926,0.2952,0.4679,0.0626
dutc1256,croa1245,0.9196,0.6249,0.5722,0.4359,0.4766,0.0474
dutc1256,stan1318,1.0,0.6454,0.5943,0.3918,0.5176,0.1673
dutc1256,latv1249,0.8767,0.5096,0.515,0.432,0.4907,0.0558
dutc1256,hebr1245,1.0,0.5196,0.537,0.432,0.5448,0.1362
dutc1256,ukra1253,0.9047,0.498,0.4885,0.3455,0.4527,0.0593
dutc1256,indo1316,1.0,0.5906,0.5655,0.3881,0.4829,0.4091
dutc1256,dani1285,0.7323,0.3923,0.4343,0.3881,0.4183,0.0178
dutc1256,swed1254,0.7323,0.3392,0.3986,0.238,0.46,0.0477
dutc1256,mand1415,1.0,0.6079,0.6025,0.3789,0.5837,0.2974
port1283,czec1258,0.9214,0.4923,0.4649,0.319,0.4431,0.0706
port1283,russ1263,0.9037,0.4911,0.4781,0.319,0.47,0.219
port1283,norw1258,0.9139,0.4401,0.519,0.4413,0.5757,0.0907
port1283,stan1288,0.1864,0.3872,0.4392,0.3695,0.4797,0.0129
port1283,kore1280,1.0,0.6111,0.5982,0.5335,0.5185,0.3625
port1283,esto1258,0.9654,0.4917,0.4902,0.2566,0.4244,0.1126
port1283,poli1260,0.9139,0.4466,0.4653,0.1789,0.4584,0.0832
port1283,dutc1256,0.9359,0.4439,0.4566,0.3418,0.3863,0.0538
port1283,lati1261,0.529,0.5021,0.4857,0.3141,0.4757,0.0564
port1283,stan1290,0.427,0.4175,0.4084,0.2851,0.3947,0.0339
port1283,stan1295,0.9214,0.453,0.4673,0.3931,0.4343,0.0613
port1283,hind1269,0.9273,0.5004,0.501,0.2851,0.477,0.286
port1283,stan1289,0.195,0.2567,0.2815,0.1789,0.2848,0.0259
port1283,ital1282,0.5032,0.2686,0.2795,0.2566,0.351,0.0568
port1283,stan1293,0.9359,0.5368,0.522,0.2513,0.4235,0.0512
port1283,finn1318,1.0,0.5139,0.5025,0.3141,0.454,0.1275
port1283,bulg1262,0.9214,0.4175,0.4449,0.319,0.4276,0.0972
port1283,slov1268,0.9139,0.406,0.4161,0.319,0.3356,0.0649
