Source lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
lith1251,nucl1643,1.0,0.6109,0.5936,0.5587,0.5678,0.3047
lith1251,stan1306,1.0,0.6828,0.6191,0.195,0.4766,0.3331
lith1251,dutc1256,0.8767,0.5494,0.5403,0.3918,0.4954,0.0534
lith1251,croa1245,0.7125,0.5588,0.5123,0.2048,0.3666,0.0501
lith1251,hebr1245,1.0,0.5827,0.5827,0.4477,0.6169,0.1144
lith1251,mong1331,1.0,0.593,0.5214,0.2871,0.4483,0.2126
lith1251,hind1269,0.86,0.4949,0.4991,0.4196,0.5129,0.2142
stan1318,basq1248,0.9744,0.6695,0.613,0.3862,0.5213,0.1744
stan1318,slov1269,1.0,0.7624,0.7326,0.6082,0.7332,0.1272
stan1318,nucl1310,1.0,0.743,0.6448,0.4498,0.493,0.2021
stan1318,kore1280,1.0,0.7303,0.6423,0.5348,0.4901,0.2926
stan1318,lith1251,1.0,0.6023,0.5438,0.2871,0.4756,0.1382
stan1318,czec1258,1.0,0.6261,0.539,0.2871,0.4511,0.1391
stan1318,espe1235,1.0,0.7155,0.6249,0.4909,0.3125,0.1686
stan1318,finn1318,1.0,0.604,0.5496,0.3862,0.4756,0.1717
stan1318,alba1267,1.0,0.5399,0.5226,0.4208,0.4834,0.108
stan1318,viet1252,1.0,0.678,0.6846,0.4745,0.5647,0.2505
stan1318,stan1290,1.0,0.5952,0.552,0.4196,0.5,0.169
stan1318,esto1258,0.9744,0.6216,0.5505,0.3433,0.4149,0.1526
stan1318,mace1250,1.0,0.5563,0.5323,0.2871,0.4299,0.1022
stan1318,bosn1245,1.0,0.6385,0.5736,0.4359,0.3401,0.1169
stan1318,swed1254,1.0,0.6188,0.5917,0.4208,0.5522,0.1632
stan1318,poli1260,1.0,0.5765,0.546,0.2677,0.4588,0.1368
stan1318,west2369,1.0,0.6494,0.5703,0.359,0.4384,0.0456
stan1318,kurd1259,1.0,0.6237,0.5782,0.3918,0.5294,0.0376
stan1318,hung1274,1.0,0.6055,0.5415,0.2677,0.427,0.1208
stan1318,slov1268,1.0,0.5528,0.5278,0.2871,0.47,0.1317
stan1318,roma1327,1.0,0.5307,0.4966,0.2677,0.4078,0.1087
stan1318,russ1263,1.0,0.5879,0.5445,0.2871,0.4923,0.1491
stan1318,serb1264,1.0,0.5719,0.5067,0.195,0.2339,0.1085
stan1318,tami1289,1.0,0.758,0.6394,0.3862,0.4995,0.1655
stan1318,kaza1248,1.0,0.9071,0.768,0.7211,0.4359,0.1024
stan1318,mara1378,1.0,0.6824,0.6127,0.2871,0.4862,0.1423
stan1318,ukra1253,1.0,0.5493,0.482,0.195,0.4299,0.1139
stan1318,thai1261,1.0,0.6873,0.6537,0.4788,0.4718,0.2359
stan1318,bela1254,1.0,0.5563,0.4971,0.2871,0.3526,0.129
stan1318,nucl1301,1.0,0.7125,0.624,0.3433,0.5469,0.0682
stan1318,nort2697,1.0,0.6696,0.6101,0.3433,0.6059,0.0602
stan1318,stan1295,1.0,0.6323,0.6017,0.4498,0.5522,0.1426
stan1318,bulg1262,1.0,0.6128,0.5868,0.2871,0.5412,0.0979
stan1318,norw1259,0.9744,0.5814,0.6011,0.5049,0.6012,0.181
stan1318,nucl1302,1.0,0.6567,0.6121,0.4745,0.5828,0.0526
stan1318,dani1285,1.0,0.6046,0.5649,0.3862,0.4084,0.1635
stan1318,nucl1235,1.0,0.6569,0.5976,0.4208,0.4901,0.0551
stan1318,mand1415,1.0,0.731,0.7145,0.5273,0.5865,0.2567
stan1318,indo1316,1.0,0.6414,0.5911,0.3862,0.3743,0.3053
stan1318,gali1258,1.0,0.554,0.5231,0.319,0.4674,0.193
stan1318,port1283,1.0,0.5211,0.5015,0.319,0.4792,0.1826
stan1318,urdu1245,1.0,0.6873,0.6457,0.5049,0.5673,0.0948
stan1318,ital1282,1.0,0.5591,0.5068,0.195,0.3971,0.1318
stan1318,stan1288,1.0,0.5828,0.5268,0.3433,0.4407,0.1725
stan1318,mode1248,1.0,0.5263,0.5242,0.3433,0.541,0.0955
stan1318,beng1280,1.0,0.6755,0.6107,0.4498,0.5058,0.1836
stan1318,nucl1643,1.0,0.7781,0.6758,0.5587,0.5283,0.3148
stan1318,stan1306,1.0,0.6987,0.6468,0.3433,0.47,0.2596
stan1318,dutc1256,1.0,0.6454,0.5943,0.3918,0.5176,0.1673
stan1318,croa1245,1.0,0.6528,0.6029,0.3613,0.4077,0.124
stan1318,hebr1245,0.5765,0.4722,0.4948,0.5348,0.6074,0.038
stan1318,mong1331,1.0,0.7488,0.6313,0.4097,0.4871,0.218
stan1318,hind1269,1.0,0.6243,0.6071,0.4196,0.5734,0.1337
czec1258,basq1248,0.9744,0.6189,0.5794,0.2677,0.4738,0.0596
czec1258,slov1269,0.2677,0.7546,0.72,0.6082,0.6839,0.0126
czec1258,nucl1310,1.0,0.6917,0.6064,0.4498,0.523,0.2856
czec1258,kore1280,1.0,0.6705,0.639,0.6123,0.6216,0.3125
czec1258,lith1251,0.6875,0.3922,0.384,0.0,0.4073,0.0347
czec1258,stan1318,1.0,0.6261,0.539,0.2871,0.4511,0.1391
czec1258,espe1235,1.0,0.6172,0.5972,0.369,0.4906,0.0366
