Task lang,Aux lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
amha1245,bulg1262,1.0,0.5748,0.5532,0.319,0.5282,0.1523
amha1245,port1283,1.0,0.5517,0.5243,0.3578,0.436,0.2132
amha1245,dutc1256,1.0,0.5947,0.5687,0.4225,0.5183,0.2147
amha1245,stan1293,1.0,0.6696,0.6125,0.3578,0.492,0.2286
amha1245,ital1282,1.0,0.5548,0.5282,0.2566,0.4249,0.1736
amha1245,stan1289,1.0,0.584,0.5297,0.3141,0.3561,0.1928
amha1245,hind1269,1.0,0.6048,0.5652,0.4477,0.498,0.1682
amha1245,poli1260,1.0,0.6296,0.5699,0.3141,0.4542,0.1925
amha1245,stan1295,1.0,0.5743,0.5554,0.4685,0.5258,0.1913
amha1245,oldf1239,1.0,0.5908,0.5407,0.3743,0.4135,0.2056
amha1245,stan1288,1.0,0.6056,0.5374,0.3695,0.4554,0.2018
amha1245,stan1290,1.0,0.6173,0.5742,0.4477,0.5052,0.2104
amha1245,finn1318,1.0,0.6359,0.5535,0.409,0.4713,0.2346
amha1245,anci1242,1.0,0.568,0.521,0.3141,0.3634,0.1442
amha1245,norw1258,1.0,0.5856,0.576,0.5132,0.5568,0.231
amha1245,stan1318,0.6936,0.6657,0.5433,0.319,0.3973,0.0763
amha1245,lati1261,1.0,0.6252,0.5634,0.409,0.3952,0.1706
amha1245,esto1258,0.9724,0.6293,0.534,0.3695,0.3952,0.2149
amha1245,kore1280,1.0,0.5858,0.5642,0.5335,0.5204,0.3372
amha1245,nucl1643,1.0,0.5393,0.5409,0.5574,0.4933,0.3571
amha1245,russ1263,1.0,0.6111,0.5669,0.319,0.4949,0.2171
amha1245,czec1258,1.0,0.5668,0.5274,0.319,0.4653,0.1908
thai1261,russ1264,1.0,0.745,0.6515,0.3862,0.4302,0.1644
thai1261,nort2641,1.0,0.7115,0.626,0.4646,0.5168,0.242
thai1261,uppe1395,1.0,0.7684,0.7402,0.5641,0.6435,0.3198
thai1261,kaza1248,1.0,0.8807,0.7104,0.5533,0.5416,0.1814
thai1261,nucl1235,1.0,0.6577,0.6441,0.5574,0.5531,0.238
thai1261,swed1236,1.0,0.7684,0.7402,0.5641,0.6435,0.3142
thai1261,lith1251,1.0,0.7006,0.6506,0.4788,0.4887,0.299
thai1261,bela1254,1.0,0.6795,0.6354,0.4788,0.4544,0.2951
thai1261,mara1378,1.0,0.7285,0.6285,0.3862,0.3767,0.1056
thai1261,copt1239,1.0,0.6293,0.5689,0.3862,0.4683,0.2787
thai1261,tami1289,1.0,0.8187,0.6782,0.3729,0.4792,0.0981
thai1261,iris1253,1.0,0.6625,0.6068,0.3881,0.4984,0.362
thai1261,hung1274,1.0,0.68,0.6215,0.4601,0.4546,0.3089
thai1261,telu1262,1.0,0.7637,0.6321,0.3277,0.4364,0.0966
thai1261,afri1274,1.0,0.7506,0.6785,0.5319,0.4907,0.3246
thai1261,viet1252,1.0,0.498,0.4873,0.2952,0.4552,0.0329
thai1261,uigh1240,1.0,0.8434,0.6949,0.4788,0.4723,0.1541
thai1261,mode1248,1.0,0.6438,0.6374,0.5096,0.5433,0.2961
thai1261,nort2671,1.0,0.6728,0.6451,0.4934,0.5138,0.3056
thai1261,gali1258,1.0,0.6077,0.5867,0.409,0.4594,0.3753
thai1261,serb1264,1.0,0.5734,0.5415,0.427,0.4425,0.3037
thai1261,goth1244,1.0,0.5873,0.5358,0.3277,0.4302,0.2831
thai1261,nucl1301,1.0,0.6834,0.623,0.5096,0.4792,0.2736
thai1261,mand1415,1.0,0.5901,0.5833,0.439,0.5984,0.1314
thai1261,urdu1245,1.0,0.7046,0.6169,0.5574,0.4862,0.1495
thai1261,chur1257,1.0,0.7684,0.7402,0.5641,0.6435,0.3014
thai1261,swed1254,1.0,0.6308,0.5786,0.4878,0.4466,0.3118
thai1261,dani1285,1.0,0.6726,0.5984,0.3729,0.4313,0.3286
thai1261,indo1316,1.0,0.4237,0.4247,0.2617,0.4313,0.1055
thai1261,ukra1253,1.0,0.6195,0.5947,0.427,0.4683,0.2972
thai1261,west2369,1.0,0.6738,0.6244,0.5114,0.5016,0.1961
thai1261,hebr1245,1.0,0.5747,0.6084,0.5096,0.5482,0.2661
thai1261,basq1248,0.967,0.6712,0.6501,0.5354,0.5789,0.3606
thai1261,latv1249,1.0,0.7,0.6534,0.427,0.5126,0.2986
thai1261,slov1268,1.0,0.6447,0.6008,0.4788,0.4313,0.321
thai1261,croa1245,1.0,0.5821,0.5532,0.4407,0.5169,0.3164
thai1261,roma1327,1.0,0.5692,0.5453,0.4601,0.4594,0.2976
thai1261,slov1269,1.0,0.7684,0.7402,0.5641,0.6435,0.3107
thai1261,bulg1262,1.0,0.6144,0.5796,0.4788,0.5034,0.2956
thai1261,port1283,1.0,0.5774,0.555,0.409,0.4142,0.3683
thai1261,dutc1256,1.0,0.6569,0.5975,0.4646,0.4799,0.3392
thai1261,stan1293,1.0,0.6577,0.5978,0.409,0.4147,0.3501
thai1261,ital1282,1.0,0.6024,0.5958,0.427,0.4905,0.3277
thai1261,stan1289,1.0,0.5777,0.5503,0.3729,0.4095,0.3512
thai1261,hind1269,1.0,0.6984,0.6149,0.4867,0.4526,0.1117
thai1261,poli1260,1.0,0.6165,0.6048,0.3729,0.5145,0.3104
thai1261,stan1295,1.0,0.61,0.5655,0.5114,0.4666,0.3253
thai1261,oldf1239,1.0,0.6201,0.5765,0.4407,0.4584,0.3506
thai1261,stan1288,1.0,0.5836,0.5945,0.5096,0.5382,0.3631
thai1261,stan1290,1.0,0.6193,0.5879,0.4867,0.4674,0.3488
thai1261,finn1318,1.0,0.6545,0.5842,0.4601,0.3995,0.2991
thai1261,anci1242,1.0,0.6424,0.6149,0.4601,0.4425,0.3047
thai1261,norw1258,1.0,0.5472,0.534,0.409,0.4859,0.3248
thai1261,stan1318,1.0,0.6873,0.6537,0.4788,0.4718,0.2359
thai1261,lati1261,1.0,0.6424,0.6108,0.3729,0.4683,0.3288
thai1261,esto1258,0.967,0.6484,0.5941,0.427,0.4425,0.2984
thai1261,kore1280,1.0,0.6497,0.5978,0.5096,0.4209,0.1506
thai1261,nucl1643,1.0,0.6763,0.6175,0.4601,0.4678,0.1658
thai1261,russ1263,1.0,0.6447,0.6522,0.4788,0.5718,0.2004
thai1261,czec1258,1.0,0.7088,0.6698,0.4788,0.5458,0.3188
yoru1245,russ1264,1.0,0.8058,0.6879,0.5064,0.3891,0.3705
yoru1245,nort2641,1.0,0.719,0.665,0.5469,0.5644,0.2047
yoru1245,uppe1395,1.0,0.8052,0.7773,0.6082,0.6885,0.1984
yoru1245,kaza1248,1.0,0.8587,0.6973,0.6172,0.5319,0.2758
yoru1245,nucl1235,1.0,0.7433,0.6837,0.5792,0.5037,0.2163
yoru1245,swed1236,1.0,0.8052,0.7773,0.6082,0.6885,0.2295
yoru1245,lith1251,1.0,0.74,0.6789,0.5064,0.4959,0.2215
yoru1245,bela1254,1.0,0.6787,0.634,0.5064,0.3478,0.2164
yoru1245,mara1378,1.0,0.8009,0.6763,0.4097,0.4407,0.3018
yoru1245,copt1239,1.0,0.6867,0.5793,0.4097,0.3673,0.1529
yoru1245,tami1289,1.0,0.8749,0.7161,0.4788,0.5,0.3108
yoru1245,iris1253,1.0,0.7011,0.6408,0.4745,0.4977,0.2066
yoru1245,hung1274,1.0,0.6895,0.6213,0.4788,0.4054,0.1862
yoru1245,telu1262,1.0,0.832,0.6868,0.4477,0.4798,0.3091
yoru1245,afri1274,1.0,0.7825,0.6974,0.5469,0.4486,0.173
yoru1245,viet1252,1.0,0.4954,0.522,0.4745,0.5253,0.3951
yoru1245,uigh1240,1.0,0.8315,0.6906,0.5064,0.4438,0.3139
yoru1245,mode1248,1.0,0.644,0.6456,0.5348,0.5187,0.1769
yoru1245,nort2671,1.0,0.6809,0.6565,0.5319,0.4968,0.269
yoru1245,gali1258,1.0,0.6517,0.6168,0.5049,0.4126,0.1627
yoru1245,serb1264,1.0,0.5813,0.5279,0.4477,0.3307,0.1794
yoru1245,goth1244,1.0,0.5478,0.5229,0.4477,0.3891,0.2013
yoru1245,nucl1301,1.0,0.7828,0.6837,0.5348,0.5,0.1854
yoru1245,mand1415,1.0,0.643,0.6292,0.5273,0.6128,0.4016
yoru1245,urdu1245,1.0,0.707,0.6311,0.5792,0.5036,0.2691
yoru1245,chur1257,1.0,0.8052,0.7773,0.6082,0.6885,0.1786
yoru1245,swed1254,1.0,0.6613,0.6307,0.5792,0.5062,0.2335
yoru1245,dani1285,1.0,0.6973,0.6256,0.4788,0.409,0.2104
yoru1245,indo1316,1.0,0.4817,0.4778,0.4788,0.409,0.4141
yoru1245,ukra1253,1.0,0.6613,0.6068,0.4477,0.3673,0.1969
yoru1245,west2369,1.0,0.7267,0.6517,0.5273,0.4641,0.2308
yoru1245,hebr1245,1.0,0.599,0.65,0.6123,0.5753,0.1684
yoru1245,basq1248,0.9654,0.6934,0.6566,0.5587,0.5337,0.1624
yoru1245,latv1249,1.0,0.7588,0.669,0.4477,0.3964,0.2279
yoru1245,slov1268,1.0,0.6765,0.6254,0.5064,0.3797,0.1787
yoru1245,croa1245,1.0,0.5678,0.5294,0.4717,0.4327,0.1765
yoru1245,roma1327,1.0,0.5968,0.5464,0.4788,0.3548,0.1902
yoru1245,slov1269,1.0,0.8052,0.7773,0.6082,0.6885,0.1915
yoru1245,bulg1262,1.0,0.5938,0.5803,0.5064,0.4878,0.1808
yoru1245,port1283,1.0,0.6449,0.5935,0.4208,0.3806,0.1589
yoru1245,dutc1256,1.0,0.6995,0.6408,0.5469,0.4766,0.1979
yoru1245,stan1293,1.0,0.6804,0.6533,0.5049,0.5093,0.2026
yoru1245,ital1282,1.0,0.6595,0.6111,0.4477,0.3673,0.1639
yoru1245,stan1289,1.0,0.6418,0.5957,0.4788,0.3776,0.1554
yoru1245,hind1269,1.0,0.6995,0.6264,0.496,0.4909,0.3027
yoru1245,poli1260,1.0,0.6566,0.6434,0.4788,0.5268,0.204
yoru1245,stan1295,1.0,0.6287,0.6068,0.597,0.4851,0.1867
yoru1245,oldf1239,1.0,0.6168,0.5618,0.4717,0.3534,0.1729
yoru1245,stan1288,1.0,0.6011,0.598,0.5348,0.4862,0.1503
yoru1245,stan1290,1.0,0.6775,0.6191,0.496,0.4394,0.1813
yoru1245,finn1318,1.0,0.6558,0.6113,0.5587,0.448,0.257
yoru1245,anci1242,1.0,0.6985,0.6444,0.4788,0.3673,0.1629
yoru1245,norw1258,1.0,0.5857,0.6091,0.5049,0.5758,0.2312
yoru1245,stan1318,1.0,0.6949,0.6461,0.5064,0.3333,0.1913
yoru1245,lati1261,1.0,0.6872,0.6346,0.4788,0.3673,0.159
yoru1245,esto1258,0.9654,0.6497,0.607,0.5348,0.4322,0.2376
yoru1245,kore1280,1.0,0.7653,0.6967,0.6123,0.5275,0.4274
yoru1245,nucl1643,1.0,0.8262,0.6988,0.5587,0.448,0.4428
yoru1245,russ1263,1.0,0.6637,0.6577,0.5064,0.4767,0.3024
yoru1245,czec1258,1.0,0.7569,0.6815,0.5064,0.4433,0.1934
warl1254,russ1264,1.0,0.6568,0.5811,0.5319,0.3291,0.3117
warl1254,nort2641,1.0,0.7026,0.65,0.5587,0.5564,0.3963
warl1254,uppe1395,1.0,0.7546,0.7446,0.6545,0.7438,0.453
warl1254,kaza1248,1.0,0.7218,0.6622,0.6854,0.3536,0.3526
warl1254,nucl1235,1.0,0.5987,0.5825,0.5996,0.4637,0.3946
warl1254,swed1236,1.0,0.7546,0.7446,0.6545,0.7438,0.4479
warl1254,lith1251,1.0,0.5834,0.5783,0.5319,0.5317,0.4388
warl1254,bela1254,1.0,0.5944,0.5649,0.5319,0.4327,0.4364
warl1254,mara1378,1.0,0.6504,0.6216,0.4278,0.5127,0.279
warl1254,copt1239,1.0,0.731,0.6622,0.4278,0.4637,0.4176
warl1254,tami1289,1.0,0.6777,0.6214,0.4934,0.525,0.2573
warl1254,iris1253,1.0,0.6718,0.6373,0.4788,0.5417,0.4783
warl1254,hung1274,1.0,0.6294,0.5813,0.4934,0.4849,0.4457
warl1254,telu1262,1.0,0.6612,0.6199,0.4638,0.5702,0.2698
warl1254,afri1274,1.0,0.7646,0.7116,0.631,0.5506,0.3709
warl1254,viet1252,1.0,0.6764,0.6922,0.5587,0.5871,0.1993
warl1254,uigh1240,1.0,0.6332,0.5861,0.6224,0.3651,0.3283
warl1254,mode1248,1.0,0.6264,0.6091,0.5582,0.6037,0.4362
warl1254,nort2671,1.0,0.6081,0.5419,0.4601,0.2937,0.4373
warl1254,gali1258,1.0,0.6115,0.5732,0.5184,0.439,0.4863
warl1254,serb1264,1.0,0.6128,0.5683,0.4638,0.29,0.4418
warl1254,goth1244,1.0,0.574,0.534,0.4638,0.2766,0.4282
warl1254,nucl1301,1.0,0.6291,0.6049,0.5582,0.5724,0.4199
warl1254,mand1415,1.0,0.6584,0.6737,0.5399,0.5673,0.2646
warl1254,urdu1245,1.0,0.6352,0.6459,0.6738,0.5913,0.3202
warl1254,chur1257,1.0,0.7546,0.7446,0.6545,0.7438,0.4401
warl1254,swed1254,1.0,0.7139,0.67,0.5184,0.5774,0.4461
warl1254,dani1285,1.0,0.7119,0.6597,0.5804,0.4419,0.4581
warl1254,indo1316,1.0,0.6535,0.6155,0.4934,0.409,0.1098
warl1254,ukra1253,1.0,0.6319,0.5811,0.4638,0.494,0.4379
warl1254,west2369,1.0,0.7135,0.623,0.5399,0.439,0.3576
warl1254,hebr1245,1.0,0.6234,0.6128,0.5582,0.5608,0.4098
warl1254,basq1248,0.9791,0.5865,0.6104,0.5804,0.5765,0.478
warl1254,latv1249,1.0,0.6962,0.6244,0.5582,0.4445,0.4381
warl1254,slov1268,1.0,0.6451,0.616,0.5319,0.5304,0.4536
warl1254,croa1245,1.0,0.6781,0.6399,0.5,0.4759,0.4505
warl1254,roma1327,1.0,0.6078,0.5682,0.4934,0.469,0.4381
warl1254,slov1269,1.0,0.7546,0.7446,0.6545,0.7438,0.447
warl1254,bulg1262,1.0,0.5901,0.5965,0.5319,0.5693,0.4361
warl1254,port1283,1.0,0.6641,0.6129,0.5184,0.5062,0.4823
warl1254,dutc1256,1.0,0.6966,0.6432,0.4788,0.5417,0.4652
warl1254,stan1293,1.0,0.7556,0.7038,0.5184,0.5519,0.4716
warl1254,ital1282,1.0,0.6368,0.5881,0.4638,0.4637,0.4575
warl1254,stan1289,1.0,0.6534,0.609,0.4934,0.4565,0.4721
warl1254,hind1269,1.0,0.6371,0.6429,0.5753,0.5922,0.2928
warl1254,poli1260,1.0,0.6014,0.5869,0.4934,0.4898,0.4468
warl1254,stan1295,1.0,0.6558,0.6329,0.6162,0.5774,0.4566
warl1254,oldf1239,1.0,0.5696,0.5393,0.5,0.284,0.4723
warl1254,stan1288,1.0,0.6554,0.593,0.4638,0.4438,0.479
warl1254,stan1290,1.0,0.7258,0.6605,0.5753,0.5236,0.4712
warl1254,finn1318,1.0,0.5938,0.5762,0.5804,0.505,0.4352
warl1254,anci1242,1.0,0.5661,0.5084,0.3918,0.29,0.4413
warl1254,norw1258,1.0,0.6448,0.6354,0.5184,0.6039,0.4543
warl1254,stan1318,1.0,0.6494,0.5548,0.4278,0.2502,0.3858
warl1254,lati1261,1.0,0.5557,0.5215,0.3918,0.381,0.4579
warl1254,esto1258,0.9791,0.6578,0.5992,0.5582,0.4199,0.4372
warl1254,kore1280,1.0,0.6603,0.596,0.3498,0.4318,0.2491
warl1254,nucl1643,1.0,0.6638,0.6546,0.6591,0.5575,0.2395
warl1254,russ1263,1.0,0.624,0.6188,0.5319,0.5559,0.3625
warl1254,czec1258,1.0,0.6721,0.6186,0.5319,0.5148,0.4525
taga1270,russ1264,1.0,0.6949,0.5972,0.3862,0.3918,0.1736
taga1270,nort2641,1.0,0.6914,0.6029,0.3881,0.467,0.3056
