Target lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
mara1378,amha1245,1.0,0.5925,0.5445,0.319,0.466,0.1621
mara1378,stan1318,1.0,0.6824,0.6127,0.2871,0.4862,0.1423
mara1378,nort2697,1.0,0.5384,0.5448,0.3433,0.6002,0.1549
mara1378,beng1280,0.6936,0.3967,0.4222,0.4498,0.3908,0.0631
mara1378,stan1289,0.9176,0.6071,0.5607,0.2677,0.4488,0.2806
mara1378,cebu1242,1.0,0.7503,0.6641,0.2677,0.5195,0.2077
mara1378,cent1972,0.8003,0.7558,0.7716,0.7952,0.8391,0.1458
mara1378,stan1295,0.8934,0.5788,0.5722,0.4498,0.5522,0.2572
mara1378,west2369,0.8003,0.597,0.5645,0.359,0.5342,0.1016
mara1378,stan1290,0.9248,0.622,0.5846,0.4196,0.5174,0.2834
mara1378,haus1257,1.0,0.6383,0.6218,0.3918,0.5648,0.28
mara1378,hind1269,0.6936,0.5112,0.4826,0.4196,0.398,0.0324
mara1378,hung1274,1.0,0.5593,0.533,0.2677,0.4901,0.2374
mara1378,ilok1237,1.0,0.7169,0.6079,0.195,0.4571,0.1873
mara1378,indo1316,1.0,0.676,0.6142,0.3862,0.47,0.1828
mara1378,ital1282,0.9131,0.6192,0.591,0.195,0.5248,0.2545
mara1378,java1254,1.0,0.7042,0.6148,0.3862,0.409,0.1707
mara1378,kaza1248,1.0,0.754,0.6994,0.6172,0.5797,0.116
mara1378,kiny1244,1.0,0.7749,0.6911,0.6123,0.553,0.2195
mara1378,kirg1245,1.0,0.5371,0.55,0.4498,0.5986,0.1094
mara1378,kurd1259,0.7837,0.6993,0.6307,0.3918,0.5819,0.1462
mara1378,laoo1244,1.0,0.7099,0.6497,0.3862,0.4997,0.1205
mara1378,malt1254,1.0,0.6107,0.5875,0.3433,0.5422,0.2479
mara1378,nucl1310,1.0,0.6096,0.5534,0.4498,0.4475,0.0754
mara1378,stan1306,1.0,0.73,0.6651,0.3433,0.5324,0.129
mara1378,dutc1256,0.9131,0.5669,0.5534,0.3918,0.5625,0.2764
mara1378,nyan1308,1.0,0.7818,0.667,0.3613,0.4697,0.2355
mara1378,east2652,1.0,0.6394,0.5728,0.4208,0.4738,0.1582
